Trade Date,first,second,days_left,w1,w2,ret
2009-06-23,32.049999999999997,32.149999999999999,20,83.333333333333329,16.666666666666668,-0.02024446142093217
2009-06-24,30.600000000000001,31.350000000000001,19,79.166666666666671,20.833333333333332,-0.041839916839916835
2009-06-25,29.100000000000001,30.25,18,75.0,25.0,-0.046061098692677604
2009-06-26,28.550000000000001,29.850000000000001,17,70.833333333333329,29.166666666666668,-0.0174393874946831
2009-06-29,27.449999999999999,28.949999999999999,16,66.666666666666671,33.333333333333336,-0.036007489557827954
2009-06-30,28.050000000000001,29.25,15,62.5,37.5,0.017889087656529634
2009-07-01,27.649999999999999,29.199999999999999,14,58.333333333333336,41.666666666666664,-0.00942982456140351
2009-07-02,29.300000000000001,30.649999999999999,13,54.166666666666664,45.833333333333336,0.05536739802680035
2009-07-06,29.0,30.399999999999999,12,50.0,50.0,-0.009261193510201271
2009-07-07,30.25,31.449999999999999,11,45.833333333333336,54.166666666666664,0.03872053872053871
2009-07-08,30.800000000000001,31.800000000000001,10,41.666666666666664,58.333333333333336,0.014293419633225612
2009-07-09,29.75,31.75,9,37.5,62.5,-0.014869888475836368
2009-07-10,29.800000000000001,31.949999999999999,8,33.333333333333336,66.666666666666671,0.00463709677419355
2009-07-13,27.550000000000001,30.800000000000001,7,29.166666666666668,70.833333333333329,-0.048559231590181384
2009-07-14,27.0,30.25,6,25.0,75.0,-0.01842417475050595
2009-07-15,26.449999999999999,29.25,5,20.833333333333332,79.166666666666671,-0.03014861995753715
2009-07-16,25.899999999999999,28.949999999999999,4,16.666666666666668,83.333333333333329,-0.012281976744186074
2009-07-17,25.600000000000001,29.0,3,12.5,87.5,-0.00029299736302379475
2009-07-20,24.550000000000001,28.399999999999999,2,8.3333333333333339,91.666666666666671,-0.02296587926509186
2009-07-21,24.050000000000001,27.850000000000001,1,4.166666666666667,95.833333333333329,-0.019439085917791976
2009-07-22,23.48,27.199999999999999,0,0.0,100.0,-0.02335239241649123
